original,Error,Corrected
රාජේන්ද්‍රන්,රාජේන්දුන්ං,රාජේන්දුන්ං
කාන්ති,කාන්ති,කාන්ති
අබේසිංහ,අබේසිංහ,අබේසිංහ
ගෙදර,ගෙර,ගෙර
කොඩිතුවක්කු,කොඩිතුවක්කු,කොඩිතුවක්කු
ප්‍රතීපන්,ප්‍රතිපන්,ප්‍රතිපන්
රත්නායක,රත්නායක,රත්නායක
ලෙච්චුමන්,ඞලෙචිචුමන්,ඞලෙචිචුමන්
ධර්මසිරි,ධර්මසිට,ධර්මසිට
සේනාරත්න,සේනාරත්න,සේනාරත්න
බස්නායක,බස්නායක,බස්නායක
කුමාර,කුමාර,කුමාර
රංජිත්,රංජිත්,රංජිත්
බුලත්සිංහල,බුලත්සිංහල,බුලත්සිංහල
මුහම්මද්,ඞමුහම්මද්,ඞමුහම්මද්
සිල්වා,ඩිල්වා,ඩිල්වා
පුෂ්ප,්‍යපුෂ්ප,්‍යපුෂ්ප
හද්දාගොඩ,තද්දාගොෙොඩ,තද්දාගොෙොඩ
සුනිලක,සුනිමල්,සුනිමල්
අමිර්තලිංගම්,අම්ර්තලිංගම්,අම්ර්තලිංගම්
චන්ද්‍රසිරි,චන්දසිට්,චන්දසිට්
පාතිමා,ආාචමා,ආාචමා
බුසාබදුගේ,බුසාබදුගේ,බුසාබදුගේ
නන්දනී,කඞඉනන්දතනීි,කඞඉනන්දතනීි
කුමාරි,කුමාර,කුමාර
කූගන්,කූගන්,කූගන්
නිසාර්,නිසර,නිසර
ශ්‍යාමලී,ඬශ්‍යාමලමී,ඬශ්‍යාමලමී
උම්මුන්,උම්මුන්,උම්මුන්
සෆ්රානියා,සෆ්රානියා,සෆ්රානියා
හේවාරාඉංදූව,හේවාරාරූව,හේවාරාරූව
අජිත්,අපිත්,අපිත්
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
අධීෂ,අධ්ෂ,අධ්ෂ
ලුකස්,ලූස්,ලූස්
බාලසූරිය,බාලසූරිය,බාලසූරිය
අජිත්,අපත්,අපත්
ප්‍රියදර්ශනී,ප්‍රියදර්ශනී,ප්‍රියදර්ශනී
රැටියලගේ,රැටියලගේ,රැටියලගේ
කුලප්පු,කලපු,කලපු
අසංග,අසංග,අසංග
මහින්ද,මහින්ද,මහින්ද
ආනන්ද,ආනන්ද,ආනන්ද
සුසිත,සුසී,සුසී
මධුෂානි,ඞසහමධුෂානි,ඞසහමධුෂානි
මුදියාන්සේලාගේ,මුදියාන්සේලාගේ,මුදියාන්සේලාගේ
විජේසූරිය,ඞඉවිපේසූර්ය,ඞඉවිපේසූර්ය
ආරච්චි,ආරච්චි,ආරච්චි
හෙට්ටිගේ,හෙට්ටිගේ,හෙට්ටිගේ
පතිරන්නැහැලාගේ,පතිරන්නැහැලාගේ,පතිරන්නැහැලාගේ
රට්ටන්බිලි,ඇරට්ටන්බිලි,ඇරට්ටන්බිලි
හදුන්නෙත්තිගේ,හදුන්නෙත්තිගේ,හදුන්නෙත්තිගේ
බාස්කරන්,ඇබාස්කරන්,ඇබාස්කරන්
චතුරංගනි,චතුරංගනි,චතුරංගනි
සිරිසේන,සිරිසේන,සිරිසේන
මිරහවත්තේ,ම්රනවත්තේ,ම්රනවත්තේ
චමින්ද,චම්න්ල,චම්න්ල
ලියනගේ,ලියනගේ,ලියනගේ
ජයසිංහගේ,ජයසිංහගේ,ජයසිංහගේ
යෝගරාසා,යෝගරාසා,යෝගරාසා
සිරිමාවතී,සිරමාවනතී,සිරමාවනතී
දසනායක,දසනායක,දසනායක
දයාවතී,දියාචභ්,දියාචභ්
ගෙදර,ගෙදර,ගෙදර
මොරගලගේ,මොරගලගේ,මොරගලගේ
සිංහාසනගේ,සිංහාසනගේ,සිංහාසනගේ
නිමාල්,නිමාල්,නිමාල්
මනෝජ්,මනෝජ්,මනෝජ්
මැටරඹ,ඈමැටරඹ,ඈමැටරඹ
සඳරුවන්,සඳරුවන්,සඳරුවන්
අමරෝසිගේ,අමරෝසිගේ,අමරෝසිගේ
අසීස්,අයිස්,අයිස්
කුමාර,ංබුමාර,ංබුමාර
වනිගා,චනිගා,චනිගා
සජීවනී,සජීවනී,සජීවනී
අයින්ස්ටයින්,අයින්ස්ටයින්,අයින්ස්ටයින්
දේවතා,දේවතා,දේවතා
මකලන්ද,මකලන්ද,මකලන්ද
මොහම්මඩ්,මොහනම්මඩ්,මොහනම්මඩ්
මුහම්මදු,ශමුහම්මටු,ශමුහම්මටු
මාලිනීදේවි,මාලිනීදේවි,මාලිනීදේවි
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
කුමාර,කුමාර,කුමාර
මොහමඩ්,ඞමොහමඩ්,ඞමොහමඩ්
පියදාස,පියළාස,පියළාස
කුමාර,බුමාර,බුමාර
සඳමාලි,ඞසඳමාලි,ඞසඳමාලි
ලක්මාල්,ලක්මාල්,ලක්මාල්
මධුශානි,මධුශානි,මධුශානි
අබේවර්ධන,අබේවර්ධන,අබේවර්ධන
ඉමිහාමිලාගේ,මම්භාම්ලාගේ,මම්භාම්ලාගේ
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
තිලෝෂණ,නිලෝෂණ,නිලෝෂණ
වලිවිටිගේ,ඞඈවචලිවිටිගේ,ඞඈවචලිවිටිගේ
රණවීර,රණවීර,රණවීර
නෙයිනා,ඞනෙයිනා,ඞනෙයිනා
පන්නිල,පන්නිල,පන්නිල
වසන්තිකා,වසන්නිකා,වසන්නිකා
ජයනි,එයනි,එයනි
ගෙදර,ගෙදර,ගෙදර
කහපල,කළඞතපල,කළඞතපල
තාජුතා,තාජුතා,තාජුතා
පෙරේරා,ඈපෙරේරා,ඈපෙරේරා
රුෂාන්,රුහන්,රුහන්
පුන්චි,පුන්චි,පුන්චි
ඉරේෂා,ඞඝඉරේෂා,ඞඝඉරේෂා
දෙයාලගේ,ඉමදෙයාලගේ,ඉමදෙයාලගේ
ඉලංගරත්නම්,ඉලංගරත්නම්,ඉලංගරත්නම්
බේරුගොඩ,බේරුගොඩ,බේරුගොඩ
මනෝජ්,ඞමනෝජ්,ඞමනෝජ්
මෙලීෂා,ඞමෙලීෂා,ඞමෙලීෂා
නිශාරි,නිශාර,නිශාර
කවිසික්,කවිසික්,කවිසික්
මැස්ටියගේ,මැස්ටියගේ,මැස්ටියගේ
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
බණ්ඩාර,ඞබණ්ඩාර,ඞබණ්ඩාර
බොතේජු,බොතේජු,බොතේජු
කිත්තංගොඩ,කිත්තංගොඩ,කිත්තංගොඩ
සුදේනි,සුදේනි,සුදේනි
සුබසිංහ,සුබසිංහ,සුබසිංහ
ඉන්ද්‍රා,නන්දා,නන්දා
කසුන්,කසුන්,කසුන්
සේනානායක,සේනානායක,සේනානායක
විමලින්,වචිමලින්,වචිමලින්
ප්‍රදීප්,පදුර,පදුර
කොන්වීර,කොන්වීර,කොන්වීර
අනුර,අනුර,අනුර
චන්ද්‍රිකා,චන්දිකා,චන්දිකා
වර්ණසූරිය,වර්ණසූරය,වර්ණසූරය
අරුල්රාසා,අරැල්රාසා,අරැල්රාසා
මහාමනි,මහාමනි,මහාමනි
වසුන්දරා,චසුන්දථා,චසුන්දථා
ඥානවතී,ඥානවතී,ඥානවතී
රාජපක්‍ෂ,රාජපක්කත,රාජපක්කත
සසිකලා,ඞඈසසිකලා,ඞඈසසිකලා
කංකානම්,කංකානම්,කංකානම්
හොරදුගොඩ,හොරදුගොඩ,හොරදුගොඩ
බෝඹුවල,ඞබෝමුවල,ඞබෝමුවල
